,results
0,0.0
1,2.9802322e-08
2,1.4901161e-07
3,2.0861626e-07
4,7.241964e-05
5,3.7252903e-06
6,4.7385693e-06
7,1.809001e-05
8,8.225441e-06
9,1.4483929e-05
10,1.2546778e-05
11,1.7791986e-05
12,1.898408e-05
13,1.6987324e-05
14,5.993247e-05
15,4.2259693e-05
16,5.301833e-05
17,6.613135e-05
18,0.00012516975
19,7.6919794e-05
20,0.00016149879
21,7.7694654e-05
22,0.00019294024
23,0.00018048286
24,0.0003476739
25,0.0001936853
26,0.00033003092
27,0.00017157197
28,0.0007908046
29,0.00041773915
30,4.4852495e-05
31,0.0007984936
32,0.00077420473
33,0.0011231601
34,0.0017157197
35,0.0012806058
36,0.002127856
37,0.0023930967
38,0.0015935004
39,0.0025173426
40,0.0018555224
41,0.0012905002
42,0.009334296
43,0.004385203
44,0.0021537244
45,0.0026692152
46,0.0014795661
47,0.0055939853
48,0.00514853
49,0.0073194504
50,0.0059025288
51,0.008488864
52,0.011828303
53,0.010098189
54,0.006950021
55,0.00942716
56,0.011557221
57,0.008857101
58,0.0138961375
59,0.012895912
60,0.021847129
61,0.01788804
62,0.019476414
63,0.040670216
64,0.053235084
65,0.030412108
66,0.0279499
67,0.031377614
68,0.037681878
69,0.030914545
70,0.033299834
71,0.04049471
72,0.09496969
73,0.056940407
74,0.07256979
75,0.0515981
76,0.04660383
77,0.04954505
78,0.064098656
79,0.040183365
80,0.041336298
81,0.13612601
82,0.09438038
83,0.10913491
84,0.13602945
85,0.07652944
86,0.24683022
87,0.11179304
88,0.11458108
89,0.13850272
90,0.16195601
91,0.15505785
92,0.16032147
93,0.23703447
94,0.40917164
95,0.20808655
96,0.15364382
97,0.24311578
98,0.27787694
99,0.36920324
100,0.45562938
101,0.23077926
102,0.107668966
103,0.35109007
104,0.4487087
105,0.51641124
106,0.8115785
107,0.7165902
108,0.6848623
109,0.5737407
110,0.6901655
111,0.6466062
112,0.83884573
113,0.7569555
114,0.8571104
115,0.5848166
116,0.7141845
117,0.9013932
118,0.73689973
119,0.71599674
120,0.07932186
121,0.7549499
122,0.67991936
123,0.6952221
124,0.8301575
125,0.8834717
126,0.8005339
127,0.8062253
128,0.87741387
129,0.7937747
130,0.7738842
131,0.718879
132,0.8826332
133,0.65433943
134,0.89651424
135,0.897261
136,0.8250755
