5%,-2%,5%,3%,1%,4%,0%,-14%,0%,8%,23%,-33%,9%,1%,1%,10,10,0%,0%,100%,18.7,41.5,2.8,0.403059875,0
14%,7%,14%,7%,5%,4%,0%,-9%,0%,6%,27%,-36%,8%,1%,2%,10,10,0%,0%,100%,25.9,40,2.8,0.378951937,-1
7%,-9%,0%,7%,5%,0%,0%,-10%,0%,1%,41%,-33%,6%,1%,-2%,10,10,-1%,-1%,99%,27.6,39.4,2.8,0.385156303,-1
4%,-26%,-3%,8%,3%,2%,0%,-6%,0%,5%,46%,-30%,4%,0%,3%,10,10,0%,0%,100%,22.5,33.3,2.8,0.368323741,-1
-1%,-8%,0%,9%,3%,3%,0%,-6%,0%,5%,28%,-34%,5%,2%,3%,10,10,0%,0%,100%,21.2,30.7,2.8,0.367173979,-1
-3%,-9%,2%,7%,1%,-4%,0%,-13%,0%,-3%,13%,-40%,3%,1%,-5%,10,10,-5%,-5%,95%,42.2,29.6,2.8,0.396909899,0
-2%,-12%,3%,2%,-2%,-2%,0%,-18%,0%,-11%,12%,-40%,0%,-2%,0%,9,9,-10%,-10%,90%,23.8,29.4,2.8,0.422313125,1
-2%,-6%,1%,0%,-3%,2%,0%,-10%,0%,-2%,13%,-33%,-1%,-2%,1%,10,10,-3%,-3%,97%,22.3,28.8,2.8,0.382921144,1
5%,5%,6%,0%,0%,2%,0%,-3%,0%,4%,11%,-32%,0%,0%,1%,11,11,0%,0%,100%,26.6,27.5,2.8,0.357801596,-1
12%,21%,11%,4%,4%,5%,0%,0%,0%,9%,9%,-33%,2%,2%,2%,11,11,0%,0%,100%,30.2,27.1,2.8,0.345641736,-1
6%,20%,9%,6%,5%,1%,0%,0%,0%,2%,13%,-31%,3%,2%,1%,11,11,-1%,-1%,99%,22.7,26.6,2.8,0.348581094,-1
-16%,-7%,-8%,5%,2%,-3%,0%,-5%,0%,3%,9%,-30%,3%,2%,1%,10,10,-12%,-12%,88%,25.4,26.3,2.8,0.411145573,-1
-27%,-17%,-16%,-2%,-4%,-9%,-108%,-11%,-109%,6%,9%,-25%,4%,2%,2%,20,9,0%,-16%,81%,30.2,26.2,5.1,0.355095729,0
-12%,-14%,-9%,-7%,-8%,1%,-108%,0%,-109%,6%,15%,-15%,6%,2%,2%,21,9,0%,-8%,88%,27.2,26.2,5.1,0.315049388,-1
0%,-15%,-12%,-5%,-4%,5%,-108%,0%,-109%,7%,15%,-13%,7%,3%,1%,21,9,-2%,-11%,86%,25.5,25.9,5.1,0.325049525,-1
3%,-17%,-22%,-5%,0%,-6%,-108%,0%,-109%,2%,5%,-14%,5%,1%,-2%,20,9,-8%,-16%,82%,30.8,26.4,5.1,0.350995273,-1
-12%,-22%,-14%,-8%,-2%,-3%,-108%,0%,-109%,1%,9%,-15%,3%,-1%,0%,20,9,-9%,-16%,81%,23.6,26.4,5.1,0.355107214,-1
-8%,-24%,-16%,-10%,-4%,-2%,-108%,0%,-109%,-2%,13%,-16%,2%,-1%,0%,19,8,-12%,-19%,78%,18.8,26.4,5.1,0.373545249,-1
-11%,-27%,-13%,-11%,-5%,-5%,-108%,0%,-109%,-2%,15%,-6%,0%,-1%,-2%,18,8,-17%,-24%,74%,25.4,26.2,5.1,0.403657028,-1
-20%,-37%,-20%,-14%,-7%,-8%,-108%,0%,-109%,-8%,2%,-9%,-2%,-1%,-1%,14,6,-34%,-39%,59%,29.7,26.6,5.1,0.566084754,1
-18%,-36%,-22%,-21%,-12%,-10%,-108%,-10%,-109%,-13%,-9%,-19%,-7%,-5%,-9%,13,6,-38%,-43%,55%,44.4,28.8,5.1,0.625418535,1
-12%,-36%,-28%,-28%,-15%,-10%,-108%,-15%,-109%,-18%,-14%,-14%,-13%,-8%,-4%,13,6,-40%,-45%,53%,47.9,29.7,5.1,0.663184476,-1
5%,-32%,-37%,-27%,-11%,4%,-108%,-7%,-109%,-7%,-13%,3%,-12%,-6%,3%,14,6,-36%,-42%,56%,55.5,31.8,5.1,0.605431791,-1
12%,-18%,-37%,-19%,-1%,4%,-108%,0%,-109%,2%,-12%,18%,-9%,-1%,0%,14,6,-34%,-39%,59%,55.8,34.1,5.1,0.565099772,-1
-5%,-22%,-44%,-14%,3%,-4%,-14%,-12%,-9%,9%,-12%,18%,-7%,2%,1%,5,5,-75%,-53%,34%,58.6,36.1,1.5,0.384824185,-1
-18%,-33%,-54%,-13%,-1%,-2%,-14%,-11%,-9%,7%,-10%,31%,-3%,2%,4%,6,5,-74%,-52%,35%,39.6,36.9,1.5,0.378697095,-1
