,results
0,0.5850174
1,0.6309095
2,0.6083141
3,0.5073658
4,0.3376754
5,0.329347
6,0.37081128
7,0.3607421
8,0.87612593
9,0.1678203
10,0.41585484
11,0.22252557
12,0.33631134
13,0.06806803
14,0.1799042
15,0.2194567
16,0.15762469
17,0.54173976
18,1.1920929e-07
19,0.24303702
20,0.33059973
21,0.09136236
22,0.038684934
23,0.22926962
24,0.12097362
25,0.1347042
26,0.42173645
27,0.99973315
28,0.04913351
29,0.23654845
30,0.5112425
31,0.7839204
32,0.6357408
33,0.9720015
34,0.34540477
35,0.59442985
36,0.7052841
37,0.2883684
38,0.81436265
39,0.9419286
40,0.17488346
41,0.7261461
42,0.76838297
43,0.28571442
44,0.17557591
45,0.09714088
46,0.24297273
47,0.69771326
48,0.18515068
49,0.42764786
50,0.14364457
51,0.067510456
52,0.1166926
53,0.37739035
54,0.9999843
55,0.25622717
56,0.06952986
57,5.9604645e-08
58,0.04918194
59,0.91577256
60,0.9011971
61,0.9697714
62,0.935812
63,0.85332155
64,0.85559
65,0.78829944
66,0.67334443
67,0.62941223
68,0.7755732
69,0.8440275
70,0.49980775
71,0.47931844
72,0.48724255
73,0.37390676
74,0.80182207
75,0.20758688
76,0.29529124
77,0.99960005
78,0.1943315
79,0.2695944
80,0.4563464
81,0.094031185
82,0.033914268
83,0.1083951
84,0.064914405
85,0.14294448
86,5.9604645e-07
87,0.22499397
88,0.015755266
89,0.6060487
90,0.8486159
91,0.6793263
92,0.6132704
93,0.98511344
94,0.78693795
95,0.7154913
96,0.7442558
97,0.97738147
98,0.2077949
99,0.3751011
100,0.5773523
101,0.8328311
102,0.32056314
103,0.99998593
104,0.35154212
105,0.24593106
106,0.1414443
107,0.46431023
108,0.052871644
109,0.6160154
110,0.15207428
111,0.19299307
112,0.23314348
113,0.16029981
114,0.1814129
115,0.1414006
116,0.4896126
117,5.364418e-07
118,0.07134417
119,0.94949037
120,0.9771775
121,0.778425
122,0.93824446
123,0.95037794
124,0.81484735
125,0.86577785
126,0.7509482
127,0.86718935
128,0.6652385
129,0.58694696
130,0.77068734
131,0.42180303
132,0.23173612
133,0.12621409
134,0.26116312
135,0.7952428
136,0.18726951
137,0.24595305
138,0.99983907
139,0.02915141
140,0.024301142
141,0.20744094
142,0.028639644
143,0.51390934
144,0.080467135
145,0.020332992
146,3.427267e-06
147,0.10163221
148,0.11094293
149,0.99649775
150,0.93385893
151,0.92373765
152,0.8697392
153,0.8505343
154,0.8427192
155,0.89779043
156,0.7583002
157,0.40906665
158,0.5883477
159,0.24977091
160,0.36407393
161,0.099748224
162,0.9574145
163,0.5497823
164,0.47855073
165,0.24855188
166,0.025959104
167,0.40003955
168,0.024215817
169,0.018345654
170,0.34518313
171,0.118617356
172,0.016236037
173,0.12616211
174,0.05591601
175,8.940697e-06
176,0.99709547
177,0.8235222
178,0.0061285794
179,0.9562525
180,0.9125615
181,0.6147791
182,0.6212113
183,0.5976834
184,0.8527607
185,0.98005104
186,0.41480315
187,0.016148299
188,0.02420643
189,0.012243301
190,0.47310364
191,0.8670803
192,0.07644799
193,0.026114821
194,0.030194491
195,0.025116235
196,0.09279099
197,0.061466306
198,0.09727976
199,0.011826098
200,0.2760769
201,0.047195166
202,0.026172966
203,0.9999937
204,1.7940998e-05
205,0.09178218
206,0.37202162
207,0.01848659
208,0.05556014
209,0.35970265
210,0.75800353
211,0.39851642
212,0.96293855
213,0.9122988
214,0.13104439
215,0.18761966
216,0.0103265345
217,0.9540609
218,0.28034627
219,0.59476054
220,0.1575695
221,0.6787876
222,0.64883137
223,0.011900455
224,0.1696901
225,0.40584314
226,0.16257969
227,0.2106908
228,0.13867995
229,0.06917465
230,0.42044276
231,0.4283893
232,0.7282183
233,0.03191933
234,0.833311
235,0.99994063
236,1.04904175e-05
237,0.45074582
238,0.23100516
239,0.1514448
240,0.6095344
241,0.81051064
242,0.22837251
243,0.39101917
244,0.409719
245,0.4017685
246,0.18607628
247,0.41888392
248,0.5089527
249,0.5593853
250,0.7813803
251,0.6587178
252,0.16066492
253,0.9384806
254,0.7836273
255,0.664249
256,0.071944
257,0.55778205
258,0.22720155
259,0.018303066
260,0.0073866844
261,0.13689008
262,0.120412916
263,0.07699415
264,0.03729409
265,1.1950731e-05
266,0.99997073
267,0.15291017
268,0.08015987
269,0.039972275
270,0.04280165
271,0.73201025
272,0.9087229
273,0.9779533
274,0.3100592
275,0.94158536
276,0.40211588
277,0.17279434
278,0.95611495
279,0.051028013
280,0.35966945
281,0.6867697
282,0.32893157
283,0.08394149
284,0.5287423
285,0.06423214
286,0.21823561
287,0.40501556
288,0.3652206
289,0.23548329
290,0.14747527
291,0.023228407
292,0.18526378
293,1.5944242e-05
294,0.057758123
295,0.045470715
296,0.99999404
297,0.046256334
298,0.35503095
299,0.64542836
300,0.05625245
301,0.2719599
302,0.21530482
303,0.2364083
304,0.886109
305,0.13622579
306,0.8237641
307,0.916732
308,0.10042095
309,0.029332966
310,0.08600518
311,0.9942944
312,0.64873195
313,0.2372792
314,0.13038656
315,0.11273709
316,0.017961502
317,0.75540334
318,0.7123826
319,0.10995096
320,0.17234764
321,0.9539411
322,0.7757703
323,0.24062452
324,0.9510659
325,0.99830997
326,0.0067797005
327,0.74091804
328,0.015810221
329,0.0005490482
330,0.56292874
331,0.029325306
332,0.9956857
333,0.5889158
334,0.7897242
335,0.51820505
336,0.72803193
337,0.3005545
338,0.55505115
339,0.21477583
340,0.053740352
341,0.39420193
342,0.09072921
343,0.4130485
344,0.22113496
345,0.31573987
346,0.29700905
347,0.9241655
348,0.3038491
349,0.025665104
350,0.7892598
351,0.7521441
352,0.6708582
353,0.38897118
354,0.7180315
355,0.31323898
356,0.49226937
357,0.0131445825
358,0.090455204
359,0.4106892
360,0.0012923181
361,0.9631045
362,0.04209563
363,0.999359
364,0.93571806
365,0.5692725
366,0.9832287
367,0.9151293
368,0.6089804
369,0.91333205
370,0.7286907
371,0.45172894
372,0.64089423
373,0.6181245
374,0.23544636
375,0.26859653
376,0.61616087
377,0.16564924
378,0.9304538
379,0.046073288
380,0.08052999
381,0.74996674
382,0.44876143
383,0.023845732
384,0.43167853
385,0.28062773
386,0.7040661
387,0.22406572
388,0.1625033
389,0.5670537
390,0.0009971559
391,0.0007238984
392,0.56317633
393,0.110189855
394,0.85462844
395,0.9717157
396,0.9465506
397,0.9641882
398,0.97755253
399,0.9415246
400,0.781517
401,0.8680128
402,0.86181843
403,0.764241
