round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,third_layer,batch_size,epochs
80,0.11885745225354467,0.9656319248174088,0.12097315974427222,0.9595623209179298,256,128,512,256,80
20,0.2085695822873956,0.9312638579609653,0.26573121861034527,0.8853472890341203,512,128,512,64,20
40,0.17574075485544563,0.958980044213737,0.19317112684420015,0.9343482390910982,512,8,64,64,40
160,0.06323069360462366,0.9855875831485588,0.0774246104766963,0.9709800190294957,8,256,16,64,160
20,0.4847186380241504,0.7993348115299335,0.5040396679650024,0.7383444344963379,256,8,64,128,20
320,0.11770968390277643,0.9767184040763162,0.12296184056662697,0.97478591845673,64,128,32,512,320
40,0.6011006887630455,0.729490029309647,0.6175314763633554,0.6969552809119111,8,8,8,512,40
320,0.055651777929847365,0.9944567627494457,0.06379027168783089,0.9871550909572279,16,256,16,128,320
80,0.3357546320907821,0.8647450091040584,0.34771233975717164,0.8468125596373111,64,32,64,256,80
80,0.06442494859336617,0.9822616407982262,0.0889995592716305,0.9671741204529462,64,512,32,64,80
320,0.053756285524883714,0.9822616407982262,0.03907293620759481,0.9838249279588432,512,16,64,128,320
20,0.5620152592130352,0.7328159643911205,0.5964682902697719,0.6974310175676101,32,128,64,128,20
20,0.5780393417156456,0.7317073169410097,0.6108667643494429,0.6969552813088973,8,16,256,64,20
160,0.12280852534289899,0.9711751620679632,0.14006743370976252,0.963368221025712,512,8,8,256,160
160,0.3658567511718183,0.8425720533616262,0.37593161678393605,0.8349191242462107,16,128,128,512,160
40,0.5163600797002966,0.74501108634234,0.542505914177019,0.7112274025305467,16,8,64,128,40
320,0.04982098833783767,0.983370288248337,0.03191040599139161,0.9857278784947889,256,64,128,64,320
160,0.24905258251928172,0.9113081932860837,0.25034547274618574,0.9024738348970858,128,128,16,512,160
40,0.23782473305310484,0.9090909090909091,0.2550440494726092,0.8939105615402606,16,128,512,64,40
10,0.5412352135334734,0.7782705098456659,0.568174488254097,0.7002854427760493,64,8,512,64,10
160,0.04832724457866865,0.9878048780487805,0.05373759767294044,0.982397717027637,256,64,64,128,160
40,0.43422076938686244,0.8226164045460737,0.4327536393187366,0.8049476690569114,512,128,16,256,40
10,0.6016597012987158,0.7317073169410097,0.6270062147039782,0.6979067556978293,64,64,16,128,10
40,0.5651234852236813,0.7350332533440939,0.5929664449959454,0.697431018815281,64,256,8,512,40
10,0.5935898646547102,0.7317073177339761,0.6428114009062298,0.6983824930907884,16,256,64,256,10
20,0.39315574925120284,0.8337028824833703,0.43962901649193803,0.8078020927341182,32,512,512,64,20
80,0.16965215706045506,0.9445676274944568,0.18481832005430923,0.9352997147277011,16,128,16,64,80
320,0.10204409234671794,0.9756097588729435,0.10346312506866955,0.9809705042816366,64,512,8,256,320
160,0.08147722872556445,0.9844789356984479,0.08072734982143914,0.976688868312128,16,512,256,128,160
160,0.20250031190145834,0.9445676273622957,0.20788009897172166,0.9257849665849579,8,32,16,128,160
20,0.5770493345355776,0.7339246107839428,0.6004856336581832,0.6993339679901311,128,128,128,256,20
20,0.5862234366970951,0.7328159713956575,0.6125273661994571,0.6988582299166243,128,256,256,512,20
160,0.05832392061562866,0.9878048780487805,0.06301874610693765,0.9800190297792799,256,32,16,128,160
40,0.2133453912586965,0.9290465631929047,0.2552238811945257,0.9115128446827606,512,512,8,64,40
320,0.24884821636449472,0.9146341353720941,0.25853898367010675,0.9010466228883455,16,8,64,512,320
160,0.11253649179726641,0.9711751662971175,0.12609328618795956,0.9543292108430509,8,128,16,128,160
320,0.06341539985787313,0.9900221729490022,0.05442849867228422,0.9904852524243799,256,128,64,256,320
320,0.0893494832575189,0.9811529810571353,0.09352168186322266,0.9747859181731684,256,512,16,512,320
160,0.057087263369110894,0.9789356984478935,0.05552111819499907,0.9762131309191688,512,128,512,128,160
160,0.11265822922905903,0.9789356984478935,0.11097436822901217,0.9738344436708118,32,16,16,128,160
160,0.054089151025479225,0.9855875831485588,0.05503622976288582,0.980494767172239,512,32,128,128,160
80,0.08916556002559789,0.9711751661649565,0.0960164120709692,0.9666983827764255,512,16,512,128,80
320,0.05772345927760765,0.9866962305986696,0.05290257940414431,0.9900095147478591,64,256,16,128,320
80,0.1258975229744372,0.9745011086474501,0.1304620327153283,0.9614652714538756,128,8,128,128,80
160,0.057741413632213676,0.9789356984478935,0.06094912650129208,0.9776403430980461,32,256,256,64,160
40,0.5076710813061361,0.7483370267102565,0.536832020069507,0.7231208367874008,128,32,8,256,40
320,0.055127983479172055,0.9822616407982262,0.04325338021863596,0.9876308277830638,64,8,256,128,320
